"作者","Author full names","作者 ID","文献标题","年份","来源出版物名称","链接","摘要"
"Poushneh A.","Poushneh, Atieh (57191828517)","57191828517","How close do we feel to virtual product to make a purchase decision? Impact of perceived proximity to virtual product and temporal purchase intention","2021","Journal of Retailing and Consumer Services","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112023853&doi=10.1016%2fj.jretconser.2021.102717&partnerID=40&md5=9c2eac735677382ca62f18f822d17ae8","This study, utilizing construal level theory, aims to understand the underlying effect of perceived proximity to a virtual product on perceived purchase intention in the near future through perceived measurement feedback and perceived generality. This research examines a lab experiment to test six hypotheses. Results indicate that perceived proximity to virtual products enhances perceived measurement feedback and, thereby, perceived generality. In addition, perceived generality fully mediates the effect of perceived measurement feedback on perceived purchase intention in the near future when consumers interact with non-augmented reality applications. In contrast, perceived measurement feedback directly influences perceived purchase intention in the near future in AR applications. Furthermore, the absence of product in consumers’ consideration set dilutes the effect of perceived generality on perceived purchase intention in the near future when consumers interact with non-augmented reality application. This study suggests several managerial implications for AR developers and online retail managers. © 2021 The Author(s)"
"Golmohammadi A.; Mattila A.S.; Gauri D.K.","Golmohammadi, Alireza (56045136000); Mattila, Anna S. (7003754716); Gauri, Dinesh K. (23972182900)","56045136000; 7003754716; 23972182900","Negative online reviews and consumers’ service consumption","2020","Journal of Business Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084816741&doi=10.1016%2fj.jbusres.2020.05.004&partnerID=40&md5=8814d75dfd08c800c4c17da21593230c","The growing reliance on the Internet as an information source for services raises the need for more research focusing on electronic word of mouth (eWOM). Drawing on construal level theory and the sunk costs fallacy, we examine how psychological distance and prior investments in information search influence service consumers’ reactions to negative eWOM. We find that when consumers perceive the service consumption to be psychologically proximal, temporal investments in information search diminish the impact of negative eWOM on behavioral intentions. This effect is so robust that even a highly negative forum consensus does not mitigate it. Conversely, when the consumption experience is perceived as distal, temporal investments fail to buffer the impact of negative eWOM, and a forum consensus magnifies the impact. Our findings have important implications for service firms, as service consumers may make many of their evaluations and decisions under the influence of psychological distance and sunk costs. © 2020 Elsevier Inc."
"Huang N.; Burtch G.; Hong Y.; Polman E.","Huang, Ni (57188992739); Burtch, Gordon (55502077800); Hong, Yili (37048817200); Polman, Evan (35191095500)","57188992739; 55502077800; 37048817200; 35191095500","Effects of multiple psychological distances on construal and consumer evaluation: A field study of online reviews","2016","Journal of Consumer Psychology","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964647521&doi=10.1016%2fj.jcps.2016.03.001&partnerID=40&md5=15c211ead70b4a4cc9cc4dc26d26bd1b","Through a large-scale field study of 166,215 online restaurant reviews, we found evidence of a distance boosting effect, whereby experiencing spatial distance (i.e., authoring a review about a geographically distant restaurant, rather than proximate one) and temporal distance (i.e., authoring a review after a lengthy delay, rather than immediately) jointly affect review positivity by amplifying consumers' high-level construals. Although past research has explored the relationship between psychological distance, construal and consumer evaluation, the effects of various dimensions of distance have only been considered in isolation. Our research contributes to past work by testing the effects of experiencing two dimensions of psychological distance simultaneously on construal and consumer evaluations. Moreover, because our data contain naturalistic observations, our research includes a wide range of temporal and spatial distances. We found that the effect of one distance increases the effect of the other. Metaphorically speaking, the effect of one distance is boosted by another. © 2016 Society for Consumer Psychology"
"Yan D.; Sengupta J.","Yan, Dengfeng (36505388800); Sengupta, Jaideep (7103058663)","36505388800; 7103058663","Effects of construal level on the price-quality relationship","2011","Journal of Consumer Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960392602&doi=10.1086%2f659755&partnerID=40&md5=87cf2602b136722eed6f14965bebcaac","Drawing on construal level theory, this research proposes that consumers' reliance on price (vs. feature-specific product attributes) for making quality inferences will be enhanced when the judgment is psychologically distant (vs. close). For example, the impact of price (attributes) on quality inferences should increase (decrease) when these inferences are made with regard to another person rather than oneself. A series of experiments provides support for this thesis. In addition, we (a) document a theoretically derived reversal of the core pattern, (b) reconcile the current findings with seemingly opposed results in the construal literature, and (c) rule out several alternative explanations for the obtained effects. The insights obtained in this work enrich our understanding of three different areas of research: the pricequality link, construal level theory, and the self-other distinction. © 2011 by Journal Of Consumer Research."
"Rixom J.; Mishra H.","Rixom, Jessica (55530725300); Mishra, Himanshu (23477900700)","55530725300; 23477900700","Ethical ends: Effect of abstract mindsets in ethical decisions for the greater social good","2014","Organizational Behavior and Human Decision Processes","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896269539&doi=10.1016%2fj.obhdp.2014.02.001&partnerID=40&md5=ac118143d7c123d1d6999b2570029ecb","We explore the impact of construal level on decisions involving conflicts between multiple ethical principles. Whereas abstract mindsets are associated with a focus on ethical issues and superordinate concerns, concrete mindsets are associated with financial self-interest. With abstract mindsets, we find that people abide by rather than violate ethical principles when only the self would benefit (single principle) but they violate ethical principles when doing so is a conduit for a greater social good (multiple principles). With concrete mindsets, people violate ethical principles for personal gain with less concern for the impact on the greater social good. Specifically, with abstract mindsets, people were dishonest to secure larger donations (Study 1) and dishonest to make larger (smaller) donations to charities that supported (threatened) the greater social good (Study 2a, Study 2b) whereas with concrete mindsets, people focused more on dishonesty for personal gain (Study 1, Study 2a, Study 2b). © 2014 Elsevier Inc."
"Baskin E.; Wakslak C.J.; Trope Y.; Novemsky N.","Baskin, Ernest (56175351400); Wakslak, Cheryl J. (6506256326); Trope, Yaacov (7004477137); Novemsky, Nathan (6506616757)","56175351400; 6506256326; 7004477137; 6506616757","Why feasibility matters more to gift receivers than to givers: A construal-level approach to gift giving","2014","Journal of Consumer Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901228786&doi=10.1086%2f675737&partnerID=40&md5=560856e8b8ef51e10bca8632f5fc173d","This article looks at the trade-offs that gift givers and gift receivers make between desirability and feasibility using construal level theory as a framework. Focusing on the asymmetric distance from a gift that exists within giver-receiver dyads, the authors propose that, unlike receivers, givers construe gifts abstractly and therefore weight desirability attributes more than feasibility attributes. Support for this proposition emerges in studies examining giver and receiver mind-sets, as well as giver and receiver evaluations of gifts. Furthermore, givers do not choose gifts that maximize receiver happiness or other relationship goals even though givers believe they are doing so. Finally, the authors demonstrate that while givers are sensitive to their distance from the receiver, receivers are not sensitive to this distance. © 2014 by JOURNAL OF CONSUMER RESEARCH, Inc."
"Wu J.; Zhao H.; Chen H.","Wu, Ji (57193141585); Zhao, Haichuan (57189874191); Chen, Haipeng (57210284987)","57193141585; 57189874191; 57210284987","Coupons or free shipping? Effects of price promotion strategies on online review ratings","2021","Information Systems Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109189789&doi=10.1287%2fISRE.2020.0987&partnerID=40&md5=3d326842c82727461860f6d051f5129a","Price promotions can be implemented by either discounting a product’s base price (e.g., offering a coupon) or reducing one of its surcharges (e.g., free shipping). This study examines how the two prevalent price promotion strategies affect online review ratings differently as a function of the temporal distance between purchase and review. Drawing upon the framing literature and construal level theory, we argue that whereas free shipping should increase review ratings regardless of temporal distance, coupons should increase review ratings through perceptions of monetary savings when temporal distance is close but decrease review ratings through low perceive product quality when temporal distance is far. Consistent with this argument, our analysis of online consumer reviews from an e-commerce website matched with actual transactional data finds that coupons have a positive effect on review ratings in the short run but a negative effect in the long run. In contrast, free shipping has a consistently positive effect on review ratings over time. A text-mining analysis of the review contents reveals patterns that are consistent with the proposed underlying mechanisms. We then conduct two laboratory experiments that manipulate temporal distance and construal level respectively with real spending and consumptions to provide convergent evidence for the differential effects of coupon versus free shipping on review ratings over time and additionally demonstrate the underlying processes due to perceptions of monetary savings and perceived product quality. © 2021 INFORMS"
"Orth U.R.; Lockshin L.; Spielmann N.; Holm M.","Orth, Ulrich R. (7003302574); Lockshin, Larry (9738205600); Spielmann, Nathalie (37029920600); Holm, Mirjam (57531863800)","7003302574; 9738205600; 37029920600; 57531863800","Design Antecedents of Telepresence in Virtual Service Environments","2019","Journal of Service Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058843368&doi=10.1177%2f1094670518812705&partnerID=40&md5=cde83a65410cfc8c87bc14d1884cbfa2","This study integrates Kaplan and Kaplan’s framework on informational variables (mystery, complexity, legibility, and coherence) with construal level theory to examine how managers can use the visual design of virtual servicescapes to achieve a sense of telepresence (the subjective experience of being in a computer-mediated environment, even when one is physically elsewhere). Three studies using mixed methods and diverse samples show that informational variables vary in their capacity to evoke telepresence and thus in their impact on consumer behavioral intention. Study 1, a content analysis, uses expert judges and a global pool of virtual servicescapes to provide initial evidence that informational variables impact telepresence. Study 2, a commercial survey, shows that telepresence mediates effects of mystery and complexity (sensorially richer variables) on consumer intentions to approach. Study 3 uses a consumer sample to replicate the mediating role of telepresence and to show that a person’s visual processing style moderates effects of mystery and complexity. The effects are robust in the presence of an alternative process path through aesthetics and occur regardless of consumers’ familiarity with the servicescape, category knowledge, and involvement. Managerial implications focus on how to increase mystery and complexity for higher telepresence. © The Author(s) 2018."
"Simpson D.; Segrave M.; Quarshie A.; Kach A.; Handfield R.; Panas G.; Moore H.","Simpson, Dayna (8412721200); Segrave, Marie (26634136000); Quarshie, Anne (57006551700); Kach, Andrew (55005544700); Handfield, Robert (7004093299); Panas, George (57267257200); Moore, Heather (57218829627)","8412721200; 26634136000; 57006551700; 55005544700; 7004093299; 57267257200; 57218829627","The role of psychological distance in organizational responses to modern slavery risk in supply chains","2021","Journal of Operations Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115392521&doi=10.1002%2fjoom.1157&partnerID=40&md5=61627d966aa99a6a30f86c02e64f3b4f","Modern slavery is used to describe forms of coercive labor exploitation that affect more than 40 million persons globally. Such practices are difficult to identify given they exist in the informal economy, and involve vulnerable individuals. Addressing modern slavery by organizations requires awareness of its context and complexities. While corporations have increasingly sought to manage modern slavery risk in their supply chains, their understanding of what modern slavery is and what should be managed remains limited. We argue a key problem with firms’ efforts to manage modern slavery risk is that it is a psychologically distant concept for them. We apply construal level theory to explore how organizations’ psychological distance from modern slavery risk affects their management of risk. We interviewed purchasing executives at 41 global organizations in Australia, Finland, and the U.S and identified four approaches to managing modern slavery risk at different levels of psychological distance. We also identified that conflicts between organizations' approaches to risk and what they identify in their operating environment, precedes important construal shifts that help to improve organizational understanding of labor-related risk. We highlight ways that organizations' understanding of modern slavery risk plays a role in their governance of such risk in supply chains. © 2021 The Authors. Journal of Operations Management published by Wiley Periodicals LLC on behalf of Association for Supply Chain Management, Inc."
"Kim D.H.; Sung Y.; Drumwright M.","Kim, Dong Hoo (57223664470); Sung, Yongjun (25625420700); Drumwright, Minette (7801536454)","57223664470; 25625420700; 7801536454","‘Where I come from’ determines, ‘how I construe my future’: the fit effect of culture, temporal distance, and construal level","2018","International Journal of Advertising","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031426756&doi=10.1080%2f02650487.2016.1238661&partnerID=40&md5=4c9c05308047f7a1d0da37b0956e0c22","The present research examined how individuals’ cultural orientations influenced the relationship between their construal level and temporal distance. There were two studies in this research. In study 1, the relationship between culture and construal level was examined through the Behavior Identification Form. In addition, the influence of culture on temporal distance and individuals’ construal level was investigated by analyzing participants’ descriptions of their lives. In study 2, the three-way interaction between culture, temporal distance, and construal level frame of persuasive messages (desirability vs feasibility focused message) was investigated. A total of 503 (study 1–279 and study 2–224) students from two different countries (Korea and the United States) participated in the study. The findings revealed that individuals’ cultural orientations influenced their construal level and perceived temporal distance. Consistent results were found in an advertising context. When individuals from a collectivistic culture were in a proximal temporal condition, they tend to show a more favorable attitude toward the ad emphasizing the feasibility features of the product. The reverse was true for individuals from an individualistic culture. © 2016 Advertising Association."
