"作者","Author full names","作者 ID","文献标题","年份","来源出版物名称","链接","摘要"
"Bombaij N.J.F.; Dekimpe M.G.","Bombaij, Nick J.F. (57209837504); Dekimpe, Marnik G. (6701477193)","57209837504; 6701477193","When do loyalty programs work? The moderating role of design, retailer-strategy, and country characteristics","2020","International Journal of Research in Marketing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068833205&doi=10.1016%2fj.ijresmar.2019.07.003&partnerID=40&md5=775f176bb38533ba89575907986114e0","Many grocery retailers carry a loyalty program (LP). However, little is known under what conditions these programs are more or less effective. We provide a contingency framework that considers various design, retailer, and country characteristics that can moderate an LP's impact on a retailer's sales productivity. We test the framework across a large sample of 358 grocery banners from a broad cross-section of 27 western and eastern European countries. We find a positive effect of the more basic LP variant that offers direct and immediate rewards. This positive effect, however, disappears when retailers operate a more complex progressive-reward system and when they are part of a multivendor program. An LP's impact also differs between retailers and countries: it is lower when operated by discounters, and higher in countries that are more individualistic and long-term oriented, and where fewer competitors also carry a loyalty program. © 2019 Elsevier B.V."
"Chang H.H.; Lin Y.-H.; Lu Y.-Y.; Chang R.C.","Chang, Hsin Hsin (13309983900); Lin, You-Hung (57473556500); Lu, Yu-Yu (57193140777); Chang, Ruei Chin (57473955300)","13309983900; 57473556500; 57193140777; 57473955300","Understanding the Effects of Loyalty Program Relational Benefits, Emotion Elicitation, and Self-disclosure on Long-term Customer Relationship","2021","International Journal of Information and Management Sciences","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125595017&doi=10.6186%2fIJIMS.202109_32%283%29.0004&partnerID=40&md5=927f90e879cb8129d8ca6c13f1b70f25","Loyalty program has served as an effective tool in main-taining long-term customer relationships. In this study, relational benefits (social, special treatment, and confidence benefits) were adopted to evaluate loyalty program benefits. Whether loyalty program benefits could facilitate emotional attachment and the sense of belongingness of the customers to the stores, as well as the effects of emotional attachment and sense of belongingness to self-disclosure intention and self-disclosure honesty, and finally to long-term customer re-lationships, would be examined. 810 valid questionnaires were collected. The analytical results of PLS-SEM indi-cated that loyalty program benefits could be measured by social, special treatment, and confidence benefits. Loyalty program benefits were also proved to positively affect emotional attachment and sense of belongingness, where the lat-ter two were found to have significant positive effects on self-disclosure intention and honesty. Higher self-disclosure intention and honesty were found to affect long-term customer relationships positively. Theoretical and managerial implications were provided. © 2021, Tamkang University. All rights reserved."
"Banik S.; Gao Y.; Rabbanee F.K.","Banik, Shanta (57202265751); Gao, Yongqiang (55731314900); Rabbanee, Fazlul K. (55261306500)","57202265751; 55731314900; 55261306500","Status demotion in hierarchical loyalty programs and its effects on switching: Identifying mediators and moderators in the Chinese context","2019","Journal of Business Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056447243&doi=10.1016%2fj.jbusres.2018.11.010&partnerID=40&md5=5e77236d7ee009967c892eefda6c44a2","Hierarchical loyalty programs (HLPs) are widespread across many service industries; however, research on the effects of status demotion in an Eastern cultural context is relatively scant. Based on the psycho-evolutionary theory of emotions, the theory of embarrassment and the literature on losing face, this study explores the effect of status demotion on customers' intentions to switch service providers in the Chinese context. By doing so, the study examines how feelings of frustration and social discomfort mediate the relationship between status demotion and the switching intentions of Chinese airline HLP members. It further examines how relationship age and gender moderate the link between status demotion and feelings of frustration and social discomfort. Three hundred and forty-seven active members of airline HLPs in China participated in a structured survey. The data collected were then analyzed using partial least squares-based structural equation modeling. The results show that status demotion causes members to experience feelings of frustration and social discomfort, which further lead them to switch service providers. These effects of status demotion on frustration and social discomfort are found to be higher (lower) among the members with longer (shorter) relationship age and male (female) members. The findings of the study have significant theoretical and managerial implications. © 2018 Elsevier Inc."
"Vakeel K.A.; Fudurić M.; Viswanathan V.; Sakashita M.","Vakeel, Khadija Ali (57170908000); Fudurić, Morana (56146624700); Viswanathan, Vijay (55910323600); Sakashita, Mototaka (40462173400)","57170908000; 56146624700; 55910323600; 40462173400","Sustaining shopping momentum in retail malls using real-time messaging","2023","Journal of Retailing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145289904&doi=10.1016%2fj.jretai.2022.11.002&partnerID=40&md5=da578a99413d2bfcbd244c7e86d5f8f4","Retail malls thrive not only on foot traffic they attract but also on buyers spending at multiple retailers in the mall. While the importance of shopping momentum, i.e., buyers continuing to shop, is known, few studies have examined how mobile promotions can incentivize buyers to sustain their shopping momentum in a mall. This study examines how a mall operator targets buyers in its loyalty program with a real-time message (RTM) to encourage them to sustain their shopping momentum and spend more at the next retailer. We use a quasi-experimental design and show that the RTM has a stronger effect on heavy than light buyers. Specifically, moderate and heavy buyers are more likely to respond favorably to RTMs by sustaining shopping momentum and increasing spending at the next retailer. In contrast, the RTM has no effect on shopping momentum of light buyers, and if they continue to shop, they lower their subsequent spending. The study has important implications for retailers using mobile applications to target buyers with relevant real-time promotions to achieve desired outcomes. © 2022 New York University"
"Weathers D.; Poehlman T.A.","Weathers, Danny (8886653200); Poehlman, T. Andrew (27467777300)","8886653200; 27467777300","Defining, and understanding commitment to, activity streaks","2024","Journal of the Academy of Marketing Science","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160835072&doi=10.1007%2fs11747-023-00944-4&partnerID=40&md5=aecba078c00cbd5b934d14308fc4f921","To encourage and facilitate consumer engagement, marketers may incorporate streaks into their social media platforms, apps, loyalty programs, and other marketing tools. To build an understanding of the phenomenon, the current research examines activity streaks. With a theories-in-use approach, we first define an activity streak. We then differentiate activity streaks from other forms of patterned behavior, including winning and lucky streaks, habits, and collections. With survey, experimental, and field data, we investigate factors that impact one’s commitment to an activity streak. We find that streak commitment is a positive function of individual differences, including the activity’s identity relevance to the actor, beliefs about self-improvement resulting from the activity, and the actor’s personal need for structure, and marketer-controlled elements, including structuring the streak as a daily (versus cumulative) task, presenting the streak as a short-term (versus indefinite) goal, and allowing the actor to keep the streak private (versus sharing with others). These findings lead to a deeper understanding of streaks, provide practical implications for marketers, and highlight opportunities for future research. © Academy of Marketing Science 2023."
"Nesset E.; Bergem O.; Nervik B.; Schiøll Sørlie E.; Helgesen Ø.","Nesset, Erik (15846422900); Bergem, Ola (57221621009); Nervik, Bjørn (44061832200); Schiøll Sørlie, Even (57221618963); Helgesen, Øyvind (56358111800)","15846422900; 57221621009; 44061832200; 57221618963; 56358111800","Building chain loyalty in grocery retailing by means of loyalty programs – A study of ‘the Norwegian case’","2021","Journal of Retailing and Consumer Services","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099619069&doi=10.1016%2fj.jretconser.2021.102450&partnerID=40&md5=ff0973c5f16936ca59e54c2dcb366edb","The aim of the paper is to analyze chain loyalty effects of customers' perceived value of loyalty programs in grocery retailing. It contributes to filling a gap in the literature, as there has been little earlier focus on the links between customers' perception of loyalty program value and satisfaction, image, and loyalty, at the chain level. One main finding is that customers’ perceived value of a loyalty program has significant direct and moderating effects on chain loyalty, and the moderation effects are chain dependent. Managers should thus consider satisfaction creation, image building, and loyalty program value creation as parallel processes. © 2021 The Author(s)"
"Yılmaz Ö.; Ferguson M.; Pekgün P.; Shang G.","Yılmaz, Övünç (57226189856); Ferguson, Mark (7402592997); Pekgün, Pelin (6504248044); Shang, Guangzhi (55886834400)","57226189856; 7402592997; 6504248044; 55886834400","Strategic behavior for hotel standby upgrade programs: Empirical evidence and pricing implications","2022","Journal of Operations Management","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126925655&doi=10.1002%2fjoom.1177&partnerID=40&md5=4dad9e77173c304bb6b4f4081a77b32b","Many hotels have recently started to offer room upgrades digitally after the completion of booking to replace traditional front-desk upselling during check-in. Quickly becoming popular for upselling the premium rooms that may otherwise go unsold, standby upgrade—an availability-based, discounted premium room upgrade—is a prominent example. However, customers, in particular loyalty members, may become knowledgeable about standby upgrades through repeated interactions with this technology, and act strategically, that is, initially choose a standard room with the expectation of being offered a premium room discount through standby upgrades. Consequently, while enjoying the benefits of this program, hotels may face the potential cannibalization of premium sales due to such strategic behavior and need to adjust their pricing accordingly. Using a major hotel chain's 16-month booking and standby upgrades data, we empirically investigate the existence and extent of strategic customers in the context of standby upgrades. After showing preliminary evidence of potential strategic behavior, we develop a maximum likelihood estimator to estimate the percentage of customers who are strategic. This estimator captures the sequential nature of customer decision-making for standby upgrades (booking decision, clicking the standby upgrades offer, and requesting an upgrade) through a Sequential Logit Model. We find evidence of strategic behavior in three (out of eight) hotels examined. Considering both a weak-form and a strong-form strategic behavior, our estimates suggest that 12%–42% of the loyalty customers act strategically in these three properties. We then propose a new pricing policy to help hoteliers maximize their premium room revenues from direct bookings and standby upgrade requests. This policy recommends a discounted full price, but also a higher standby upgrade price for loyalty customers, which can bring a revenue improvement of up to 19% over a policy ignoring the strategic behavior and 34% over a policy assuming that all customers are strategic—two reasonable benchmarks without an estimate of the fraction of strategic customers. Our research, thus, provides insights for technology managers on the potential customer behavioral challenges that a hotel may face with the adoption of a disruptive digital technology, and how existing policies may need to be adjusted for the technology to be successful. © 2022 Association for Supply Chain Management, Inc."
"Stourm V.; Neslin S.A.; Bradlow E.T.; Breugelmans E.; Chun S.Y.; Gardete P.; Kannan P.K.; Kopalle P.; Park Y.-H.; Amariles D.R.; Thomadsen R.; Liu-Thompkins Y.; Venkatesan R.","Stourm, Valeria (56671351000); Neslin, Scott A. (6603116244); Bradlow, Eric T. (7004487843); Breugelmans, Els (14218900200); Chun, So Yeon (35995358400); Gardete, Pedro (55808862600); Kannan, P.K. (7005564666); Kopalle, Praveen (6602301208); Park, Young-Hoon (55494378400); Amariles, David Restrepo (56993949800); Thomadsen, Raphael (13905390300); Liu-Thompkins, Yuping (54929818600); Venkatesan, Rajkumar (35615033600)","56671351000; 6603116244; 7004487843; 14218900200; 35995358400; 55808862600; 7005564666; 6602301208; 55494378400; 56993949800; 13905390300; 54929818600; 35615033600","Refocusing loyalty programs in the era of big data: a societal lens paradigm","2020","Marketing Letters","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085891840&doi=10.1007%2fs11002-020-09523-x&partnerID=40&md5=3eca5219d36b40acff3096d26a55269a","Big data and technological change have enabled loyalty programs to become more prevalent and complex. How these developments influence society has been overlooked, both in academic research and in practice. We argue why this issue is important and propose a framework to refocus loyalty programs in the era of big data through a societal lens. We focus on three aspects of the societal lens—inequality, privacy, and sustainability. We discuss how loyalty programs in the big data era impact each of these societal factors, and then illustrate how, by adopting this societal lens paradigm, researchers and practitioners can generate insights and ideas that address the challenges and opportunities that arise from the interaction between loyalty programs and society. Our goal is to broaden the perspectives of researchers and managers so they can enhance loyalty programs to address evolving societal needs. © 2020, The Author(s)."
"Ruan B.; Polman E.; Tanner R.J.","Ruan, Bowen (56119345800); Polman, Evan (35191095500); Tanner, Robin J. (24081901600)","56119345800; 35191095500; 24081901600","The One-Away Effect: The Pursuit of Mere Completion","2024","Journal of Consumer Research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169459078&doi=10.1093%2fjcr%2fucad030&partnerID=40&md5=6f6dfccd0ead9e1a7b66bf4c4e42ed69","A series of controlled studies found that consumers counter-normatively prefer something nearly complete over something complete. We call this phenomenon the ""one-away effect""because we find that when consumers are, for example, one stamp away from completing a punch card loyalty program, they value the card more than a completed card. This is because their valuation of the one-away card is influenced by their anticipation of merely completing the card, which generates its own utility, apart from the card's end-reward (a free coffee). To wit, the prospective utility of performing the final action that fulfills completion increases consumers' valuation of the one-away card. Our findings suggest that consumers are motivated to complete goals, tasks, and sets not only to obtain their end-rewards, but also because merely completing things is intrinsically motivating and can be a goal in and of itself. We discuss the theoretical and practical implications of the one-away effect, as well as the general notion of mere completion.  © 2023 The Author(s). Published by Oxford University Press on behalf of Journal of Consumer Research, Inc. All rights reserved."
"Vafainia S.; Breugelmans E.; Bijmolt T.H.A.","Vafainia, Saeid (57205354173); Breugelmans, Els (14218900200); Bijmolt, Tammo H. A. (6602135530)","57205354173; 14218900200; 6602135530","Evaluating the impact of VAT-free promotion: the role of loyalty program membership and category characteristics","2021","Marketing Letters","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102319245&doi=10.1007%2fs11002-021-09565-9&partnerID=40&md5=96c737b431819436c496f1e63ddb3757","This study examines the impact of value-added tax (VAT)–free promotions on sales performance. VAT-free promotions are a recently adopted form of price promotions where consumers are exempted from paying the VAT amount across almost all products in the assortment during a limited number of days. They are typically organized once per year and surrounded by a large amount of media attention from the involved retailer. To test the effects of this promotion on store and category sales, and investigate the differences between loyalty program (LP) members and non-LP members, the authors use scanner data from a Dutch durable goods retailer across a range of categories. The results show that VAT-free promotions positively impact store performance. Moreover, the findings indicate that more non-LP members are attracted to the store and that they increase the amount they spend in the store. While LP members also spend more in the store, this increase in shopping basket size does not compensate for the significant drop in the number of LP members that visit the store, leading to an overall decrease in sales coming from LP members during VAT-free days. We furthermore find that the positive effect of VAT-free promotions for non-LP members (rather than LP members) generalizes across all investigated categories. Our results provide key insights for retailers and direct marketers with regard to the effectiveness of VAT-free promotions in order to strategically segment the customer base. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature."
