"作者","Author full names","作者 ID","文献标题","年份","来源出版物名称","链接","摘要"
"Thapa S.; Panda S.; Ghimire A.; Kim D.J.","Thapa, Sajani (57477803400); Panda, Swati (55782002500); Ghimire, Ashish (57656987100); Kim, Dan J. (23394997600)","57477803400; 55782002500; 57656987100; 23394997600","From engagement to retention: Unveiling factors driving user engagement and continued usage of mobile trading apps","2024","Decision Support Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195861788&doi=10.1016%2fj.dss.2024.114265&partnerID=40&md5=d472bd30412180cb23db5248cbb672b8","The popularity of online mobile trading has led to an increase in the development of mobile stock trading applications. Despite this increase in popularity, there is a dearth of empirical studies that examine the factors influencing the continued usage intention of these applications (hereafter, apps). Drawing on stimulus-organism-response (S-O-R) theory, this paper investigates the features of stock trading apps that generate consumer engagement and consequently, continued app usage intention. In study 1, through semi-structured interviews, we establish four key drivers of customer engagement with stock trading apps, and two possible moderators influencing the relationship between customer app engagement and continued usage intention. In study 2, we examine these key drivers by surveying stock trading app users from three different Facebook stock trading communities. The results confirm that the social presence and security features of these apps are significantly associated with consumer stock trading app engagement. We also find that fear of uncertainty and perceived corporate hypocrisy weaken the effect of customer app engagement on continued app usage intention. The study findings add to the literature on app usage and customer engagement and provide insights for fintech service companies to help them understand the factors that enhance consumer engagement with these apps. © 2024"
"Cheah J.-H.; Waller D.; Thaichon P.; Ting H.; Lim X.-J.","Cheah, Jun-Hwa (57191585883); Waller, David (7203026412); Thaichon, Park (56270898900); Ting, Hiram (56312440400); Lim, Xin-Jean (57205262966)","57191585883; 7203026412; 56270898900; 56312440400; 57205262966","Price image and the sugrophobia effect on luxury retail purchase intention","2020","Journal of Retailing and Consumer Services","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086512421&doi=10.1016%2fj.jretconser.2020.102188&partnerID=40&md5=ed0e050e4a6f2484a00335f039ec1068","Consumer shopping behavior in luxury retail stores continues to be a subject of interest among marketing researchers. Such a phenomenon has led us to explore how price image and sugrophobia, a psychological feeling of being taken advantage of, would influence consumers' future behavioural intention in the context of luxury retail store. Informed by a survey of 400 consumers, this study adopts the Stimulus-Organism-Response (S–O-R) model to examine how price image triggers consumer perceptions (i.e., perceived value, trust and attitude) and results in behavioral intention. Sugrophobia is included in the S–O-R model to assess its moderating effect. Data analysis using SEM-PLS demonstrates that a retailer's price image has a positive effect on consumers' perceived value, trust, attitude, and future behavioral intention. Sugrophobia, in turn, is found to weaken the relationship between price image and consumer perceptions. The study thus highlights the relevance of sugrophobia among risk-averse consumers and the necessity to manage sugrophobic consumers effectively in the context of a luxury retail store. Implications of the study are discussed. © 2020 Elsevier Ltd"
"Tan L.L.","Tan, Ling Ling (57214899247)","57214899247","A stimulus-organism-response perspective to examine green hotel patronage intention","2023","Asia Pacific Journal of Marketing and Logistics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136625648&doi=10.1108%2fAPJML-03-2022-0176&partnerID=40&md5=e21445a5e012467ad958c9a8c13d089c","Purpose: This study aims to investigate the relationships among monetary cost (stimulus), perceived greenwash fear, attitude and perceived behavioural control (organism-related factors) and green hotel patronage intention (response) using the stimulus-organism-response (S-O-R) model. Design/methodology/approach: A total of 262 valid questionnaires were collected. Data were collected using the purposive sampling method and tested using the partial least squares (PLS) approach. Findings: Monetary cost is positively related to only one organism-related factor which is perceived greenwash fear. All organism-related factors are positively related to response, which is green hotel patronage intention. Attitude mediates the relationship between perceived greenwash fear and green hotel patronage intention, as well as perceived behavioural control and green hotel patronage intention. Research limitations/implications: A longitudinal study can be performed in the future to observe the actual green hotel patronage behaviour of customers. Practical implications: Green hoteliers should focus on the development of communication strategies to enhance their corporate reputation. Green hoteliers also need to build trust by showing their green initiatives are genuine, identify consumers who are willing to pay more for green hotels and offer promotions with price incentives such as frequency discounts, coupons and rebates to increase interest and trialability. Originality/value: Few studies have focused on the use of monetary cost as a stimulus in the S-O-R model to predict green hotel patronage intention. This study also tested the mediating effect of attitude, one of the organism-related factors, in the model. © 2022, Emerald Publishing Limited."
"Nagoya R.; Bernarto I.; Antonio F.; Pramono R.; Wanasida A.S.; Purwanto A.","Nagoya, Rocky (57224512439); Bernarto, Innocentius (57198452158); Antonio, Ferdi (57219911009); Pramono, Rudy (57191867792); Wanasida, Albert Surya (57222014524); Purwanto, Agus (57215569034)","57224512439; 57198452158; 57219911009; 57191867792; 57222014524; 57215569034","Exploring Intention To Enroll University Using An Extended Stimulus-Organismresponse Model","2021","Academy of Strategic Management Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107744818&partnerID=40&md5=c738a1577163a1519041dfbee41ab872","The relationship between quality, university image, and intention to enroll a university has been studied in previous research. However, there is little knowledge about the role of cognitive and affective attitude towards the intention to enroll a university based on a Stimulus-Organism-Response (S-O-R) framework. The purpose of this study is to explore the intrinsic relationship between stimulus (university quality and university image) and organism (cognitive attitude and affective attitude) as a process in influencing the intention to enroll a university. Online surveys are used to collect data. The hypothesis was tested empirically using SmartPLS. The results of this study indicate that intention to enroll is influenced by the affective attitude stimulus. University quality has a positive and significant effect on cognitive attitude, affective attitude, and university image. Then, university image has a positive and significant effect on cognitive attitude and affective attitude. The results of this study are very useful in theoretical and practical applications in relation to the intention to enroll a university. This new research model study reveals an understanding of how the process of intention to enroll universities with an S-O-R framework © 2021. Academy of Strategic Management Journal. All Rights Reserved."
"Lim X.-J.; Cheah J.-H.; Dwivedi Y.K.; Richard J.E.","Lim, Xin-Jean (57205262966); Cheah, Jun-Hwa (57191585883); Dwivedi, Yogesh K. (35239818900); Richard, James E. (22836269200)","57205262966; 57191585883; 35239818900; 22836269200","Does retail type matter? Consumer responses to channel integration in omni-channel retailing","2022","Journal of Retailing and Consumer Services","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127174837&doi=10.1016%2fj.jretconser.2022.102992&partnerID=40&md5=351a0ee571175670b63d56ecf6db0816","A critical issue faced by marketing practitioners today is orchestrating strategies that provide a smooth consumer experience in an omni-channel environment. The extant literature offers limited guidance on managing the consumer journey in an omni-channel environment across different retail types. Using the S–O-R framework as its basis, this study generates novel insights by examining how different types of retailers influence consumer perceptions of channel integration (CPCI) as well as consumer empowerment, trust, satisfaction, and patronage intention. Data from 736 consumers was collected using purposive sampling to target those who interact with retailers from high-end specialty stores, department stores, and hypermarkets. The data was then analysed using partial least squares structural equation modelling (PLS-SEM). We find that consumers from high-end specialty stores, hypermarkets, and department stores have different perceptions when patronising the omni-channel retail business. The implications of the study are discussed and suggestions for future research are presented. © 2022 Elsevier Ltd"
"Kim W.; An H.S.; Hantula D.A.; Di Benedetto A.","Kim, Wooyang (56683522700); An, Hyun Sang (57224681884); Hantula, Donald A. (6603883582); Di Benedetto, Anthony (9533279700)","56683522700; 57224681884; 6603883582; 9533279700","Young consumers' online experiential consumption behavior of foreign contemporary music: generational and gender differences in the refined stimulus-organism-response theory","2024","Asia Pacific Journal of Marketing and Logistics","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202766687&doi=10.1108%2fAPJML-01-2024-0125&partnerID=40&md5=6ad4a9bf9870cc1deff01c197abde1ef","Purpose: This study aims to examine the younger generations’ experiential consumption of foreign contemporary music online (i.e. digital music streaming services) by generation and gender in the US market. Design/methodology/approach: The author proposes a sequential experiential consumption model by applying Jacoby’s refined stimulus-organism-response (S-O-R) theory to better understand the experiential sequences in foreign music consumption among young generations in the US market. The proposed model, using structural equation modeling (SEM), examines a cognitive permeable role and a hierarchical affective mediating role. Also, moderating roles of generation and gender are simultaneously tested in overall and specific causal relationships. Findings: The refined S-O-R framework is superior to a linear one in better understanding young consumers’ online experiential foreign music consumption behavior. Moreover, hierarchical sequenced affective organismic behavior is crucial to enhance young consumers’ online music consumption experiences to regulate subsequent behavioral responses. Furthermore, gender differences but no generational differences exist in the experiential consumption process among young consumers. Nevertheless, the strength of S-O-R factors affecting experiential consumption seems idiosyncratic simultaneously in gender and generation. Practical implications: The study suggests foreign music streaming services boost profitability by focusing on young consumers' psychological ownership and tailored experiences, encouraging a shift from freemium to premium subscriptions. Also, the findings recommend adopting phygital experiences using technologies like AR, VR and MR to enhance engagement and create unique, emotionally resonant experiences for young consumers, thus fostering a more profitable business model. Originality/value: The authors address under-researched topics relevant to young generations by applying Jacoby’s refined S-O-R framework to foreign music consumption through online streaming. This approach delves into a lesser-explored consumer behavior framework, highlighting young generations’ musical trends. The model reveals cognitive and affective roles, offering advantages over traditional linear S-O-R models. It also uniquely incorporates the moderating effects of generation and gender in music consumption studies, addressing a gap in music-related studies. © 2024, Emerald Publishing Limited."
"Shahzad M.F.; Xu S.; An X.; Javed I.","Shahzad, Muhammad Farrukh (57226358573); Xu, Shuo (35220725500); An, Xin (36811618500); Javed, Iqra (24801898200)","57226358573; 35220725500; 36811618500; 24801898200","Assessing the impact of AI-chatbot service quality on user e-brand loyalty through chatbot user trust, experience and electronic word of mouth","2024","Journal of Retailing and Consumer Services","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190819715&doi=10.1016%2fj.jretconser.2024.103867&partnerID=40&md5=877fe6acf16650f6b2518409c561399d","Based on the stimulus organism theory (S-O-R), the current study examines how the chatbot service quality influences e-brand loyalty among luxury fashion brand users and their adoption of it. In the current study, stimuli represent the chatbot service quality and chatbot awareness, prompting positive and negative emotional responses among Chinese users. However, these responses are influenced by the user's experience with chatbot usage, and trust is considered the organism in the S-O-R framework. In response to the user's ultimate trust, experience, electronic word of mouth (eWOM) and e-brand loyalty are enhanced. Similarly, our study framework is supported by the S-O-R theory. Data was gathered by convenience sampling and a cross-sectional research approach from 301 Chinese consumers of luxury fashion brands. The proposed relationships were tested using PLS-SEM through PLS-Smart software. The findings showed that AI-chatbot service quality significantly influences customer e-brand loyalty. Furthermore, chatbot user trust, experience, and electronic word of mouth significantly mediate the relationship between AI-chatbot service quality and customer e-brand loyalty. In a nutshell, applying S-O-R theory, our proposed model results provide valuable insights into the dynamics of AI-chatbot-driven interactions among Chinese luxury fashion brand consumers. Further, it explains the pivotal role of AI-chatbot service quality in fostering customer trust and e-brand loyalty. Moreover, the current study contributes to theoretical and practical knowledge. © 2024 Elsevier Ltd"
"Elmashhara M.G.; Soares A.M.","Elmashhara, Maher Georges (57207779912); Soares, Ana Maria (57191805385)","57207779912; 57191805385","Linking atmospherics to shopping outcomes: The role of the desire to stay","2022","Journal of Retailing and Consumer Services","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114397846&doi=10.1016%2fj.jretconser.2021.102744&partnerID=40&md5=0069d03aaefd26a584c3a42c8cfbb1cd","This study relies on the Stimulus-Organism-Response (S–O-R) paradigm to explore the mediating role of the desire to stay at the shopping mall in the relationship between shopper positive attitudes towards three atmospheric cues (color schemes, lighting, and music) and the shopping outcomes of shopper satisfaction, positive Word-of-Mouth (WOM) and patronage intentions. Moreover, the study elaborates on the path from the desire to stay to positive WOM and patronage intentions by considering the mediating role of shopper satisfaction. A survey-based study comprising a sample size of 451 mall shoppers has been developed to test the proposed research model. The results indicate that the desire to stay mediates the relationship between shoppers’ positive attitudes towards color schemes and music, on one hand, and shopper satisfaction and positive WOM, on the other hand. Although the desire to stay has a direct effect on positive WOM, it does not directly impact patronage intention. However, the latter path becomes significant when considering the mediating role of shopper satisfaction, indicating that satisfying mall stays enhance desirable outcomes. Based on these findings, implications for theory and retailers are discussed. © 2021 Elsevier Ltd"
"Neves C.; Oliveira T.; Sarker S.","Neves, Catarina (57205353949); Oliveira, Tiago (23493374000); Sarker, Saonee (57203205802)","57205353949; 23493374000; 57203205802","Citizens’ participation in local energy communities: the role of technology as a stimulus","2024","European Journal of Information Systems","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182460661&doi=10.1080%2f0960085X.2024.2302426&partnerID=40&md5=5fc66e4a9e7e271f3a1164dbdc76d313","Because of their focus on the acquisition of new technologies, local energy communities are increasingly being recognised as major players in the current energy transition and revealing the valuable role of technological solutions in sustainable development. Nevertheless, the success of these communities is not limited to the acquisition of technologies. Instead, it is strongly dependent on citizen participation. Prior literature has focused much more on the institutional and policy factors than on the roles of citizens and their participation in such communities, and indirectly on sustainability. To address the lack, this study aims to explain the determinants of citizen participation in local energy communities by developing a research model grounded on the stimulus-organism-response (S-O-R) framework, and then through a mixed-methods design, study the impact of technological factors as a stimulus on more social outcomes, namely the organism and response behaviours. Our results highlight the strong impact of sustainable technologies and gamification in citizens’ attitudes. Moreover, the research model reveals a strong influence of empowerment and pro-environmental behaviour in the citizen intention to participate in local energy communities. © The Operational Research Society 2024."
"Shi X.; Evans R.; Shan W.","Shi, Xiaoxiao (57202009771); Evans, Richard (55713744000); Shan, Wei (55933419800)","57202009771; 55713744000; 55933419800","Solver engagement in online crowdsourcing communities: The roles of perceived interactivity, relationship quality and psychological ownership","2022","Technological Forecasting and Social Change","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120320455&doi=10.1016%2fj.techfore.2021.121389&partnerID=40&md5=f5f41b70f462f4eb57436c6bd727f815","Crowdsourcing has attracted significant attention from organizations seeking to capture new ideas and solutions, finance new projects, and obtain market feedback about product concepts. The success of online crowdsourcing communities relies on the engagement of solvers that participate in crowdsourcing activities. In line with the Stimulus-Organism-Response (S-O-R) model, this study aims to examine the relationships between the dimensions of perceived interactivity, relationship quality, psychological ownership, and solver engagement. The resulting relationships are examined using both symmetric (PLS-SEM) and asymmetric (fsQCA) approaches, applying survey data from 423 active solvers on two online crowdsourcing communities, Epwk.com and Zbj.com. PLS-SEM identified that high levels of perceived interactivity increased relationship quality. In contrast, the influence of perceived responsiveness on psychological ownership was not statistically significant. Finally, relationship quality and psychological ownership significantly influences solver engagement. The fsQCA results reinforced the PLS-SEM findings and revealed five alternative causal configurations that are sufficient for higher levels of solver engagement. © 2021 Elsevier Inc."
